Province_State,Country_Region,Last_Update,Confirmed,Deaths,Recovered,Date
Hubei,Mainland China,1/24/20 17:00,549.0,24.0,31.0,01-24-2020
Guangdong,Mainland China,1/24/20 17:00,53.0,,2.0,01-24-2020
Zhejiang,Mainland China,1/24/20 17:00,43.0,,1.0,01-24-2020
Beijing,Mainland China,1/24/20 17:00,36.0,,1.0,01-24-2020
Chongqing,Mainland China,1/24/20 17:00,27.0,,,01-24-2020
Hunan,Mainland China,1/24/20 17:00,24.0,,,01-24-2020
Guangxi,Mainland China,1/24/20 17:00,23.0,,,01-24-2020
Shanghai,Mainland China,1/24/20 17:00,20.0,,1.0,01-24-2020
Jiangxi,Mainland China,1/24/20 17:00,18.0,,,01-24-2020
Sichuan,Mainland China,1/24/20 17:00,15.0,,,01-24-2020
Shandong,Mainland China,1/24/20 17:00,15.0,,,01-24-2020
Anhui,Mainland China,1/24/20 17:00,15.0,,,01-24-2020
Fujian,Mainland China,1/24/20 17:00,10.0,,,01-24-2020
Henan,Mainland China,1/24/20 17:00,9.0,,,01-24-2020
Jiangsu,Mainland China,1/24/20 17:00,9.0,,,01-24-2020
Hainan,Mainland China,1/24/20 17:00,8.0,,,01-24-2020
Tianjin,Mainland China,1/24/20 17:00,8.0,,,01-24-2020
Yunnan,Mainland China,1/24/20 17:00,5.0,,,01-24-2020
Shaanxi,Mainland China,1/24/20 17:00,5.0,,,01-24-2020
Heilongjiang,Mainland China,1/24/20 17:00,4.0,1.0,,01-24-2020
Liaoning,Mainland China,1/24/20 17:00,4.0,,,01-24-2020
Guizhou,Mainland China,1/24/20 17:00,3.0,,,01-24-2020
Jilin,Mainland China,1/24/20 17:00,3.0,,,01-24-2020
Taiwan,Taiwan,1/24/20 17:00,3.0,,,01-24-2020
Ningxia,Mainland China,1/24/20 17:00,2.0,,,01-24-2020
Hong Kong,Hong Kong,1/24/20 17:00,2.0,,,01-24-2020
Macau,Macau,1/24/20 17:00,2.0,,,01-24-2020
Hebei,Mainland China,1/24/20 17:00,2.0,1.0,,01-24-2020
Gansu,Mainland China,1/24/20 17:00,2.0,,,01-24-2020
Xinjiang,Mainland China,1/24/20 17:00,2.0,,,01-24-2020
Shanxi,Mainland China,1/24/20 17:00,1.0,,,01-24-2020
Inner Mongolia,Mainland China,1/24/20 17:00,1.0,,,01-24-2020
Qinghai,Mainland China,1/24/20 17:00,,,,01-24-2020
Washington,US,1/24/20 17:00,1.0,,,01-24-2020
Chicago,US,1/24/20 17:00,1.0,,,01-24-2020
,Japan,1/24/20 17:00,2.0,,,01-24-2020
,Thailand,1/24/20 17:00,5.0,,,01-24-2020
,South Korea,1/24/20 17:00,2.0,,,01-24-2020
,Singapore,1/24/20 17:00,3.0,,,01-24-2020
,Vietnam,1/24/20 17:00,2.0,,,01-24-2020
,France,1/24/20 17:00,2.0,,,01-24-2020
