Province_State,Country_Region,Last_Update,Confirmed,Deaths,Recovered,Lat,Long,Date
Hubei,Mainland China,2020-03-02T15:03:23,67103,2803,33934,30.9756,112.2707,03-02-2020
,South Korea,2020-03-02T20:23:16,4335,28,30,36.0,128.0,03-02-2020
,Italy,2020-03-02T20:23:16,2036,52,149,43.0,12.0,03-02-2020
,Iran,2020-03-02T20:23:16,1501,66,291,32.0,53.0,03-02-2020
Guangdong,Mainland China,2020-03-02T15:03:23,1350,7,1059,23.3417,113.4244,03-02-2020
Henan,Mainland China,2020-03-02T11:43:03,1272,22,1205,33.882,113.614,03-02-2020
Zhejiang,Mainland China,2020-03-02T11:43:03,1206,1,1069,29.1832,120.0934,03-02-2020
Hunan,Mainland China,2020-03-02T11:43:03,1018,4,887,27.6104,111.7088,03-02-2020
Anhui,Mainland China,2020-03-02T15:03:23,990,6,917,31.8257,117.2264,03-02-2020
Jiangxi,Mainland China,2020-03-02T01:33:02,935,1,850,27.614,115.7221,03-02-2020
Shandong,Mainland China,2020-03-02T08:03:12,758,6,460,36.3427,118.1498,03-02-2020
Diamond Princess cruise ship,Others,2020-03-02T14:33:03,705,6,10,35.4437,139.638,03-02-2020
Jiangsu,Mainland China,2020-03-02T12:53:02,631,0,543,32.9711,119.455,03-02-2020
Chongqing,Mainland China,2020-03-02T23:23:02,576,6,469,30.0572,107.874,03-02-2020
Sichuan,Mainland China,2020-03-02T15:03:23,538,3,386,30.6171,102.7103,03-02-2020
Heilongjiang,Mainland China,2020-03-02T12:53:02,480,13,356,47.862,127.7615,03-02-2020
Beijing,Mainland China,2020-03-02T02:13:16,414,8,282,40.1824,116.4142,03-02-2020
Shanghai,Mainland China,2020-03-02T04:03:13,337,3,292,31.202,121.4491,03-02-2020
Hebei,Mainland China,2020-03-02T09:43:05,318,6,296,38.0428,114.5149,03-02-2020
Fujian,Mainland China,2020-03-02T12:53:02,296,1,255,26.0789,117.9874,03-02-2020
,Japan,2020-03-02T20:33:02,274,6,32,36.0,138.0,03-02-2020
Guangxi,Mainland China,2020-03-02T12:53:02,252,2,192,23.8298,108.7881,03-02-2020
Shaanxi,Mainland China,2020-03-02T08:03:12,245,1,216,35.1917,108.8701,03-02-2020
,France,2020-03-02T20:33:02,191,3,12,47.0,2.0,03-02-2020
Yunnan,Mainland China,2020-03-02T06:23:04,174,2,168,24.974,101.487,03-02-2020
Hainan,Mainland China,2020-03-02T02:03:18,168,5,151,19.1959,109.7453,03-02-2020
,Germany,2020-03-02T20:33:02,159,0,16,51.0,9.0,03-02-2020
Guizhou,Mainland China,2020-03-02T01:13:06,146,2,114,26.8154,106.8748,03-02-2020
Tianjin,Mainland China,2020-03-01T12:43:02,136,3,111,39.3054,117.323,03-02-2020
Shanxi,Mainland China,2020-03-02T23:23:02,133,0,119,37.5777,112.2922,03-02-2020
Liaoning,Mainland China,2020-03-01T12:23:06,122,1,103,41.2956,122.6085,03-02-2020
,Spain,2020-03-02T14:43:05,120,0,2,40.0,-4.0,03-02-2020
,Singapore,2020-03-02T20:33:02,108,0,78,1.2833,103.8333,03-02-2020
Hong Kong,Hong Kong,2020-03-02T23:53:02,100,2,36,22.3,114.2,03-02-2020
Jilin,Mainland China,2020-03-02T15:03:23,93,1,83,43.6661,126.1923,03-02-2020
Gansu,Mainland China,2020-03-02T15:03:23,91,2,85,36.0611,103.8343,03-02-2020
Xinjiang,Mainland China,2020-03-02T15:43:31,76,3,66,41.1129,85.2401,03-02-2020
Inner Mongolia,Mainland China,2020-03-02T10:23:04,75,0,54,44.0935,113.9448,03-02-2020
Ningxia,Mainland China,2020-03-02T01:33:02,74,0,69,37.2692,106.1655,03-02-2020
,Kuwait,2020-03-02T20:33:02,56,0,0,29.5,47.75,03-02-2020
,Bahrain,2020-03-02T20:33:02,49,0,0,26.0275,50.55,03-02-2020
Unassigned Location (From Diamond Princess),US,2020-03-02T19:53:03,45,0,0,35.4437,139.638,03-02-2020
,Thailand,2020-03-02T06:23:04,43,1,31,15.0,101.0,03-02-2020
,Switzerland,2020-03-02T22:33:09,42,0,0,46.8182,8.2275,03-02-2020
Taiwan,Taiwan,2020-03-02T08:03:12,41,1,12,23.7,121.0,03-02-2020
,UK,2020-03-02T20:33:02,40,0,8,55.0,-3.0,03-02-2020
,Malaysia,2020-03-01T12:53:02,29,0,18,2.5,112.5,03-02-2020
,Iraq,2020-03-02T20:53:02,26,0,0,33.0,44.0,03-02-2020
,Norway,2020-03-02T20:53:02,25,0,0,60.472,8.4689,03-02-2020
,United Arab Emirates,2020-02-29T12:33:03,21,0,5,24.0,54.0,03-02-2020
,Austria,2020-03-02T21:23:04,18,0,0,47.5162,14.5501,03-02-2020
Qinghai,Mainland China,2020-02-21T04:43:02,18,0,18,35.7452,95.9956,03-02-2020
,Netherlands,2020-03-02T20:53:02,18,0,0,52.1326,5.2913,03-02-2020
"Toronto, ON",Canada,2020-03-02T20:53:02,17,0,2,43.6532,-79.3832,03-02-2020
,Vietnam,2020-02-25T08:53:02,16,0,16,16.0,108.0,03-02-2020
,Sweden,2020-03-02T20:53:02,15,0,0,63.0,16.0,03-02-2020
"King County, WA",US,2020-03-02T20:23:16,14,5,1,47.548,-121.9836,03-02-2020
,Lebanon,2020-03-02T20:53:02,13,0,0,33.8547,35.8623,03-02-2020
,Israel,2020-03-01T23:23:02,10,0,1,31.0,35.0,03-02-2020
Macau,Macau,2020-02-27T12:43:02,10,0,8,22.1667,113.55,03-02-2020
Queensland,Australia,2020-02-29T02:03:10,9,0,1,-28.0167,153.4,03-02-2020
Victoria,Australia,2020-03-02T00:53:03,9,0,4,-37.8136,144.9631,03-02-2020
"Santa Clara, CA",US,2020-03-02T20:33:02,9,0,1,37.3541,-121.9552,03-02-2020
,Belgium,2020-03-02T20:53:02,8,0,1,50.8333,4.0,03-02-2020
British Columbia,Canada,2020-02-29T23:23:13,8,0,3,49.2827,-123.1207,03-02-2020
,San Marino,2020-03-02T01:03:12,8,0,0,43.9424,12.4578,03-02-2020
,Croatia,2020-03-01T23:33:03,7,0,0,45.1,15.2,03-02-2020
,Greece,2020-03-01T23:23:02,7,0,0,39.0742,21.8243,03-02-2020
New South Wales,Australia,2020-03-01T23:33:03,6,0,4,-33.8688,151.2093,03-02-2020
,Ecuador,2020-03-01T23:33:03,6,0,0,-1.8312,-78.1834,03-02-2020
,Finland,2020-03-01T23:23:02,6,0,1,64.0,26.0,03-02-2020
,Iceland,2020-03-02T22:33:09,6,0,0,64.9631,-19.0208,03-02-2020
,Oman,2020-02-29T12:33:03,6,0,1,21.0,57.0,03-02-2020
,India,2020-03-02T22:33:09,5,0,3,21.0,78.0,03-02-2020
,Mexico,2020-03-01T23:33:03,5,0,0,23.0,-102.0,03-02-2020
,Denmark,2020-03-01T23:33:03,4,0,0,56.2639,9.5018,03-02-2020
,Pakistan,2020-02-29T18:03:05,4,0,0,30.3753,69.3451,03-02-2020
"Cook County, IL",US,2020-03-02T20:33:02,4,0,2,41.7377,-87.6976,03-02-2020
